# Sample City Map for Police Response Simulation
# Format: nodeId1,x1,y1,nodeId2,x2,y2,weight,roadType
# This creates a small city grid with various road types and distances

# Main street grid (nodes 0-8 in 3x3 pattern)
0,0.0,0.0,1,10.0,0.0,8.5,highway
1,10.0,0.0,2,20.0,0.0,8.5,highway
0,0.0,0.0,3,0.0,10.0,6.2,street
1,10.0,0.0,4,10.0,10.0,6.2,street
2,20.0,0.0,5,20.0,10.0,6.2,street
3,0.0,10.0,4,10.0,10.0,8.5,highway
4,10.0,10.0,5,20.0,10.0,8.5,highway
3,0.0,10.0,6,0.0,20.0,6.2,street
4,10.0,10.0,7,10.0,20.0,6.2,street
5,20.0,10.0,8,20.0,20.0,6.2,street
6,0.0,20.0,7,10.0,20.0,8.5,highway
7,10.0,20.0,8,20.0,20.0,8.5,highway

# Additional nodes for complexity (9-15)
0,0.0,0.0,9,5.0,5.0,7.1,street
2,20.0,0.0,10,25.0,5.0,7.8,street
6,0.0,20.0,11,5.0,25.0,7.8,street
8,20.0,20.0,12,25.0,25.0,7.8,street
9,5.0,5.0,10,25.0,5.0,22.4,alley
11,5.0,25.0,12,25.0,25.0,22.4,alley

# Diagonal shortcuts (longer but sometimes faster)
0,0.0,0.0,4,10.0,10.0,14.1,street
2,20.0,0.0,4,10.0,10.0,14.1,street
4,10.0,10.0,6,0.0,20.0,14.1,street
4,10.0,10.0,8,20.0,20.0,14.1,street

# Commercial district connections (nodes 13-15)
1,10.0,0.0,13,15.0,3.0,5.8,street
4,10.0,10.0,13,15.0,3.0,11.4,street
13,15.0,3.0,14,18.0,8.0,6.4,street
14,18.0,8.0,15,22.0,12.0,5.7,street
5,20.0,10.0,15,22.0,12.0,3.6,street

# Industrial area (nodes 16-18)
3,0.0,10.0,16,-5.0,15.0,9.2,street
6,0.0,20.0,16,-5.0,15.0,7.8,street
16,-5.0,15.0,17,-8.0,20.0,6.1,street
16,-5.0,15.0,18,-2.0,22.0,8.3,alley
